0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:26 +0530] "POST /Project03/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:26 +0530] "GET /Project03/ctl/UserListCtl HTTP/1.1" 200 25678
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:26 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:29 +0530] "POST /Project03/ctl/UserListCtl HTTP/1.1" 200 18812
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:29 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:31 +0530] "POST /Project03/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:31 +0530] "GET /Project03/ctl/UserListCtl HTTP/1.1" 200 25678
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:31 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:35 +0530] "POST /Project03/ctl/UserListCtl HTTP/1.1" 200 14079
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:35 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:36 +0530] "POST /Project03/ctl/UserListCtl HTTP/1.1" 200 25678
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:36 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:47 +0530] "POST /Project03/ctl/UserListCtl HTTP/1.1" 200 17947
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:47 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:48 +0530] "POST /Project03/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:48 +0530] "GET /Project03/ctl/UserListCtl HTTP/1.1" 200 25678
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:15:48 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:16:02 +0530] "GET /Project03/LoginCtl?operation=logout HTTP/1.1" 200 8525
0:0:0:0:0:0:0:1 - - [08/Jun/2021:19:16:02 +0530] "GET /Project03/js/CheckBox11.js HTTP/1.1" 404 942
